,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3
62,2011-2012,25,Bayern Munich,de GER,1. Bundesliga,2nd,33,33,"2,970",33.0,22.0,0.67,78.0,56,71.8,22,4,7,17,51.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2012-2013,26,Bayern Munich,de GER,1. Bundesliga,1st,31,31,"2,790",31.0,18.0,0.58,89.0,71,79.8,26,4,1,18,58.1,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2013-2014,27,Bayern Munich,de GER,1. Bundesliga,1st,31,31,"2,745",30.5,18.0,0.59,99.0,81,81.8,26,2,2,15,48.4,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2014-2015,28,Bayern Munich,de GER,1. Bundesliga,1st,32,31,"2,867",31.9,18.0,0.57,94.0,76,80.9,24,4,4,20,64.5,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2015-2016,29,Bayern Munich,de GER,1. Bundesliga,1st,34,34,"3,020",33.6,16.0,0.48,80.0,64,80.0,28,4,2,20,58.8,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2016-2017,30,Bayern Munich,de GER,1. Bundesliga,1st,26,26,"2,340",26.0,13.0,0.5,67.0,54,80.6,19,6,1,14,53.8,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2017-2018,31,Bayern Munich,de GER,1. Bundesliga,1st,3,3,270,3.0,2.0,0.67,7.0,5,71.4,2,0,1,2,66.7,0.0,0.0,0.0,0.0,0.0,1,82.0,95.0,86.3,2391.0,1500.0,7.0,7.0,100.0,39.0,40.0,97.5,36.0,48.0,75.0
69,2018-2019,32,Bayern Munich,de GER,1. Bundesliga,1st,26,26,"2,303",25.6,23.0,0.9,56.0,34,64.3,20,3,3,10,38.5,3.0,3.0,0.0,0.0,0.0,1,772.0,922.0,83.7,19434.0,12482.0,142.0,142.0,100.0,412.0,416.0,99.0,213.0,357.0,59.7
70,2019-2020,33,Bayern Munich,de GER,1. Bundesliga,1st,33,33,"2,970",33.0,31.0,0.94,110.0,79,74.5,25,4,4,15,45.5,4.0,3.0,1.0,0.0,25.0,4,1275.0,1449.0,88.0,29848.0,19847.0,333.0,335.0,99.4,610.0,620.0,98.4,320.0,480.0,66.7
71,2020-2021,34,Bayern Munich,de GER,1. Bundesliga,1st,33,33,"2,970",33.0,42.0,1.27,123.0,80,66.7,24,5,4,9,27.3,3.0,1.0,1.0,1.0,50.0,1,1134.0,1320.0,85.9,28936.0,19211.0,194.0,195.0,99.5,593.0,605.0,98.0,343.0,510.0,67.3
72,2021-2022,35,Bayern Munich,de GER,1. Bundesliga,1st,28,28,"2,510",27.9,26.0,0.93,89.0,63,71.9,22,4,2,10,35.7,1.0,1.0,0.0,0.0,0.0,2,1097.0,1255.0,87.4,27026.0,18257.0,221.0,221.0,100.0,573.0,583.0,98.3,299.0,442.0,67.6
73,2022-2023,36,Bayern Munich,de GER,1. Bundesliga,1st,12,12,"1,080",12.0,11.0,0.92,44.0,33,79.5,7,4,1,4,33.3,2.0,2.0,0.0,0.0,0.0,1,449.0,504.0,89.1,10571.0,7280.0,96.0,96.0,100.0,234.0,238.0,98.3,118.0,169.0,69.8
74,2023-2024,37,Bayern Munich,de GER,1. Bundesliga,2nd,7,7,630,7.0,8.0,1.14,20.0,12,60.0,6,0,1,4,57.1,0.0,0.0,0.0,0.0,0.0,0,194.0,218.0,89.0,4677.0,2766.0,40.0,40.0,100.0,109.0,111.0,98.2,45.0,67.0,67.2
75,2014-2015,18,Jong Ajax,nl NED,2. Eerste Divisie,12th,13,13,"1,170",13.0,23.0,1.77,64.0,41,64.1,2,4,7,1,7.7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2015-2016,19,Jong Ajax,nl NED,2. Eerste Divisie,9th,24,24,"2,160",24.0,41.0,1.71,94.0,53,56.4,7,9,8,3,12.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2016-2017,20,Jong Ajax,nl NED,2. Eerste Divisie,2nd,2,2,180,2.0,2.0,1.0,8.0,6,75.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2016-2017,20,Ajax,nl NED,1. Eredivisie,2nd,32,32,"2,880",32.0,20.0,0.62,88.0,68,78.4,24,5,3,15,46.9,3.0,1.0,1.0,1.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2017-2018,21,Ajax,nl NED,1. Eredivisie,2nd,33,33,"2,970",33.0,32.0,0.97,130.0,98,76.9,24,4,5,12,36.4,4.0,2.0,2.0,0.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2018-2019,22,Ajax,nl NED,1. Eredivisie,1st,33,33,"2,921",32.5,27.0,0.83,104.0,77,75.0,28,1,4,15,45.5,2.0,1.0,1.0,0.0,50.0,1,724.0,917.0,79.0,17369.0,12958.0,171.0,174.0,98.3,380.0,384.0,99.0,169.0,354.0,47.7
81,2019-2020,23,Ajax,nl NED,1. Eredivisie,1st,24,24,"2,160",24.0,21.0,0.87,72.0,51,73.6,18,2,4,8,33.3,2.0,2.0,0.0,0.0,0.0,0,629.0,767.0,82.0,15805.0,11814.0,159.0,159.0,100.0,302.0,304.0,99.3,161.0,294.0,54.8
82,2020-2021,24,Ajax,nl NED,1. Eredivisie,1st,20,20,"1,800",20.0,15.0,0.75,75.0,60,80.0,16,2,2,9,45.0,0.0,0.0,0.0,0.0,0.0,1,631.0,766.0,82.4,16229.0,12072.0,163.0,164.0,99.4,278.0,285.0,97.5,189.0,316.0,59.8
83,2021-2022,25,Ajax,nl NED,1. Eredivisie,1st,6,6,540,6.0,10.0,1.67,18.0,8,44.4,5,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,151.0,191.0,79.1,4271.0,2952.0,28.0,28.0,100.0,61.0,63.0,96.8,62.0,98.0,63.3
84,2022-2023,26,Inter,it ITA,1. Serie A,3rd,24,24,"2,160",24.0,24.0,1.0,83.0,61,73.5,14,3,7,8,33.3,2.0,2.0,0.0,0.0,0.0,0,837.0,1030.0,81.3,20562.0,13611.0,224.0,224.0,100.0,386.0,394.0,98.0,220.0,402.0,54.7
85,2023-2024,27,Manchester Utd,eng ENG,1. Premier League,8th,20,20,"1,800",20.0,27.0,1.35,95.0,69,73.7,10,1,9,6,30.0,2.0,2.0,0.0,0.0,0.0,0,594.0,784.0,75.8,14255.0,9422.0,152.0,153.0,99.3,301.0,306.0,98.4,136.0,317.0,42.9
86,2010-2011,18,M'Gladbach,de GER,1. Bundesliga,16th,6,6,540,6.0,3.0,0.5,22.0,19,86.4,4,1,1,3,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2011-2012,19,M'Gladbach,de GER,1. Bundesliga,4th,34,34,"3,060",34.0,24.0,0.71,127.0,103,81.1,17,9,8,15,44.1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2012-2013,20,M'Gladbach,de GER,1. Bundesliga,8th,34,34,"3,046",33.8,47.0,1.39,169.0,122,72.2,12,11,11,9,26.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2013-2014,21,M'Gladbach,de GER,1. Bundesliga,6th,34,34,"3,060",34.0,43.0,1.26,185.0,142,76.8,16,7,11,9,26.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2015-2016,23,Barcelona,es ESP,1. La Liga,1st,7,6,542,6.0,7.0,1.16,21.0,14,66.7,5,0,1,3,50.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2016-2017,24,Barcelona,es ESP,1. La Liga,2nd,36,36,"3,240",36.0,33.0,0.92,154.0,121,78.6,27,6,3,13,36.1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2017-2018,25,Barcelona,es ESP,1. La Liga,1st,37,37,"3,330",37.0,28.0,0.76,126.0,98,79.4,27,9,1,19,51.4,2.0,2.0,0.0,0.0,0.0,2,1068.0,1304.0,81.9,27867.0,19433.0,154.0,154.0,100.0,598.0,613.0,97.6,313.0,531.0,58.9
93,2018-2019,26,Barcelona,es ESP,1. La Liga,1st,35,35,"3,150",35.0,32.0,0.91,116.0,85,73.3,25,8,2,16,45.7,1.0,1.0,0.0,0.0,0.0,1,930.0,1084.0,85.8,24411.0,17180.0,131.0,131.0,100.0,512.0,521.0,98.3,284.0,427.0,66.5
94,2019-2020,27,Barcelona,es ESP,1. La Liga,2nd,36,36,"3,240",36.0,36.0,1.0,116.0,79,74.1,24,6,6,14,38.9,7.0,6.0,1.0,0.0,14.3,0,1253.0,1431.0,87.6,29479.0,20950.0,331.0,333.0,99.4,599.0,614.0,97.6,318.0,477.0,66.7
95,2020-2021,28,Barcelona,es ESP,1. La Liga,3rd,31,31,"2,790",31.0,32.0,1.03,106.0,76,72.6,21,5,5,11,35.5,3.0,3.0,0.0,0.0,0.0,0,925.0,1043.0,88.7,22407.0,15660.0,182.0,183.0,99.5,514.0,522.0,98.5,228.0,336.0,67.9
96,2021-2022,29,Barcelona,es ESP,1. La Liga,2nd,35,35,"3,150",35.0,34.0,0.97,109.0,74,70.6,19,9,7,11,31.4,3.0,2.0,1.0,0.0,33.3,0,1113.0,1281.0,86.9,27465.0,18908.0,242.0,245.0,98.8,564.0,577.0,97.7,300.0,447.0,67.1
97,2022-2023,30,Barcelona,es ESP,1. La Liga,1st,38,38,"3,347",37.2,18.0,0.48,98.0,83,84.7,28,4,6,26,68.4,3.0,3.0,0.0,0.0,0.0,9,1193.0,1412.0,84.5,30703.0,21527.0,228.0,232.0,98.3,600.0,613.0,97.9,362.0,564.0,64.2
98,2023-2024,31,Barcelona,es ESP,1. La Liga,3rd,13,13,"1,170",13.0,13.0,1.0,45.0,32,71.1,9,3,1,6,46.2,0.0,0.0,0.0,0.0,0.0,0,395.0,430.0,91.9,9536.0,7003.0,86.0,86.0,100.0,204.0,209.0,97.6,105.0,133.0,78.9
99,2014-2015,18,Southport,eng ENG,5. Conf Premier,19th,16,16,"1,440",16.0,31.0,1.94,107.0,76,71.0,6,2,8,5,31.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2014-2015,18,Blackburn,eng ENG,2. Championship,9th,2,2,180,2.0,2.0,1.0,4.0,2,50.0,2,0,0,1,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2015-2016,19,Blackburn,eng ENG,2. Championship,15th,5,5,450,5.0,5.0,1.0,12.0,7,58.3,0,3,2,1,20.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2016-2017,20,Blackburn,eng ENG,2. Championship,22nd,5,5,450,5.0,2.0,0.4,17.0,15,88.2,3,2,0,3,60.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2017-2018,21,Blackburn,eng ENG,3. League One,2nd,45,45,"4,050",45.0,39.0,0.87,175.0,136,78.9,28,12,5,0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,2018-2019,22,Blackburn,eng ENG,2. Championship,15th,41,41,"3,690",41.0,64.0,1.56,180.0,118,66.7,13,11,17,10,24.4,7.0,4.0,1.0,2.0,20.0,0,672.0,1390.0,48.3,26894.0,23089.0,63.0,64.0,98.4,247.0,253.0,97.6,360.0,1059.0,34.0
105,2019-2020,23,Brentford,eng ENG,2. Championship,3rd,46,46,"4,140",46.0,38.0,0.83,136.0,99,74.3,24,9,13,16,34.8,3.0,3.0,0.0,0.0,0.0,1,1468.0,1908.0,76.9,37948.0,25173.0,342.0,346.0,98.8,683.0,691.0,98.8,433.0,852.0,50.8
106,2020-2021,24,Brentford,eng ENG,2. Championship,3rd,42,42,"3,780",42.0,36.0,0.86,126.0,91,74.6,23,14,5,16,38.1,4.0,4.0,0.0,0.0,0.0,0,1634.0,2083.0,78.4,41833.0,28870.0,348.0,350.0,99.4,821.0,840.0,97.7,457.0,881.0,51.9
107,2021-2022,25,Brentford,eng ENG,1. Premier League,13th,24,24,"2,160",24.0,27.0,1.13,103.0,76,77.7,10,5,9,8,33.3,4.0,4.0,0.0,0.0,0.0,0,737.0,1085.0,67.9,22782.0,17533.0,137.0,138.0,99.3,302.0,310.0,97.4,296.0,625.0,47.4
108,2022-2023,26,Brentford,eng ENG,1. Premier League,9th,38,38,"3,420",38.0,46.0,1.21,197.0,154,77.7,15,14,9,12,31.6,2.0,2.0,0.0,0.0,0.0,0,1054.0,1640.0,64.3,34961.0,26954.0,131.0,135.0,97.0,463.0,473.0,97.9,459.0,1026.0,44.7
109,2023-2024,27,Arsenal,eng ENG,1. Premier League,4th,15,15,"1,350",15.0,16.0,1.07,39.0,22,61.5,8,3,4,5,33.3,2.0,1.0,1.0,0.0,50.0,0,392.0,510.0,76.9,9320.0,6493.0,116.0,116.0,100.0,198.0,198.0,100.0,78.0,192.0,40.6
110,2011-2012,17,Darlington,eng ENG,5. Conf Premier,22nd,17,17,"1,530",17.0,39.0,2.29,99.0,60,60.6,0,6,11,2,11.8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2012-2013,18,Alfreton Town,eng ENG,5. Conf Premier,13th,12,12,"1,080",12.0,12.0,1.0,63.0,51,81.0,6,2,4,4,33.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2013-2014,19,Carlisle United,eng ENG,3. League One,22nd,18,18,"1,620",18.0,27.0,1.5,64.0,37,57.8,3,6,9,7,38.9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,2013-2014,19,Burton Albion,eng ENG,4. League Two,6th,12,12,"1,080",12.0,11.0,0.92,41.0,30,73.2,5,4,3,5,41.7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2014-2015,20,Bradford City,eng ENG,3. League One,7th,33,33,"2,891",32.1,36.0,1.12,115.0,79,68.7,13,9,10,9,27.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2015-2016,21,Preston,eng ENG,2. Championship,11th,24,24,"2,101",23.3,20.0,0.86,80.0,60,75.0,6,9,8,8,33.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2015-2016,21,Sunderland,eng ENG,1. Premier League,17th,2,2,180,2.0,6.0,3.0,17.0,11,64.7,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2016-2017,22,Sunderland,eng ENG,1. Premier League,20th,29,29,"2,610",29.0,50.0,1.72,189.0,139,74.6,5,4,20,4,13.8,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2016-2017,22,Sunderland,eng ENG,Jr. PL2 — Div. 1,7th,1,1,90,1.0,0.0,0.0,0.0,0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2017-2018,23,Everton,eng ENG,1. Premier League,8th,38,38,"3,420",38.0,58.0,1.53,178.0,119,69.1,13,10,15,10,26.3,5.0,3.0,1.0,1.0,25.0,0,675.0,1332.0,50.7,28089.0,24029.0,54.0,55.0,98.2,232.0,239.0,97.1,389.0,1029.0,37.8
120,2018-2019,24,Everton,eng ENG,1. Premier League,8th,38,38,"3,420",38.0,46.0,1.21,136.0,89,67.6,15,9,14,14,36.8,5.0,2.0,3.0,0.0,60.0,0,772.0,1275.0,60.5,26263.0,19906.0,77.0,77.0,100.0,362.0,373.0,97.1,332.0,819.0,40.5
121,2019-2020,25,Everton,eng ENG,1. Premier League,12th,38,38,"3,420",38.0,56.0,1.47,147.0,94,63.9,13,10,15,9,23.7,4.0,3.0,0.0,1.0,0.0,0,905.0,1383.0,65.4,28145.0,21362.0,185.0,185.0,100.0,359.0,364.0,98.6,346.0,815.0,42.5
122,2020-2021,26,Everton,eng ENG,1. Premier League,10th,31,31,"2,742",30.5,39.0,1.28,128.0,90,71.1,15,5,11,10,32.3,3.0,2.0,0.0,1.0,0.0,0,766.0,1154.0,66.4,23261.0,18485.0,201.0,203.0,99.0,248.0,250.0,99.2,307.0,686.0,44.8
123,2021-2022,27,Everton,eng ENG,1. Premier League,16th,35,35,"3,150",35.0,58.0,1.66,170.0,116,66.5,10,6,19,7,20.0,1.0,1.0,0.0,0.0,0.0,0,608.0,1147.0,53.0,23302.0,19151.0,83.0,83.0,100.0,204.0,208.0,98.1,321.0,848.0,37.9
124,2022-2023,28,Everton,eng ENG,1. Premier League,17th,37,37,"3,330",37.0,57.0,1.54,181.0,123,71.3,7,12,18,8,21.6,6.0,5.0,1.0,0.0,16.7,0,749.0,1312.0,57.1,25114.0,19603.0,158.0,159.0,99.4,242.0,247.0,98.0,342.0,892.0,38.3
125,2023-2024,29,Everton,eng ENG,1. Premier League,17th,20,20,"1,800",20.0,28.0,1.4,79.0,53,70.9,8,2,10,6,30.0,5.0,5.0,0.0,0.0,0.0,0,486.0,776.0,62.6,16737.0,13493.0,67.0,67.0,100.0,177.0,184.0,96.2,241.0,519.0,46.4
