movie,scores,links,categories,image sources
Expend4bles,,,,
Dumb Money,87,,,
PAW Patrol: The Mighty Movie,,,,
The Dark Knight,94,,,
The LEGO Movie,96,,,
A Haunting in Venice,77,,,
Flora and Son,94,,,
The Nun II,50,,,
The Retirement Plan,67,,,
Outlaw Johnny Black,66,,,
My Big Fat Greek Wedding 3,30,,,
Stop Making Sense,100,,,
The Great Indian Family,,,,
Camp Hideout,,,,
Get Out,98,,,
The Matrix,83,,,
The Inventor,77,,,
Saw X,,,,
The Creator,,,,
The Exorcist: Believer,,,,
The Continental: From the World of John Wick,,,,
American Horror Story,,,,
No One Will Save You,,,,
Sex Education,,,,
The Gold,90,,,
A Million Miles Away,89,,,
The Walking Dead: Daryl Dixon,79,,,
The Other Black Girl,88,,,
The Morning Show,70,,,
Becoming Frida Kahlo,,,,
Welcome to Wrexham,94,,,
The Changeling,66,,,
I Am Groot,,,,
The Wheel of Time,87,,,
One Shot: Overtime Elite,,,,
Cassandro,94,,,
Star Trek: Lower Decks,100,,,
Sitting in Bars with Cake,79,,,
Virgin River,,,,
One Piece,86,,,
The Nun II,50,,,
A Haunting in Venice,77,,,
The Equalizer 3,75,,,
My Big Fat Greek Wedding 3,30,,,
Barbie,88,,,
Jawan,89,,,
Blue Beetle,78,,,
Gran Turismo: Based on a True Story,64,,,
Oppenheimer,93,,,
Teenage Mutant Ninja Turtles: Mutant Mayhem,96,,,
Bottoms,93,,,
Meg 2: The Trench,28,,,
Talk to Me,95,,,
Haunted Mansion,37,,,
Camp Hideout,,,,
Strays,54,,,
The Hill,41,,,
"Mission: Impossible - Dead Reckoning, Part One",96,,,
Dumb Money,87,,,
The Inventor,77,,,
The Dark Knight,94,,,
The LEGO Movie,96,,,
Get Out,98,,,
The Matrix,83,,,
Top Gun: Maverick,96,,,
Star Trek,94,,,
A Million Miles Away,89,,,
Mutt,88,,,
The Equalizer 3,75,,,
Dumb Money,87,,,
A Haunting in Venice,77,,,
Rotting in the Sun,84,,,
Cassandro,94,,,
Tony Manero,85,,,
Aristotle and Dante Discover the Secrets of the Universe,88,,,
El Conde,83,,,
The First Slam Dunk,100,,,
Once Upon a Time in Uganda,95,,,
Perpetrator,80,,,
The Unknown Country,90,,,
You Are So Not Invited to My Bat Mitzvah,92,,,
The Innocent,98,,,
Fremont,97,,,
Bottoms,93,,,
The Eternal Memory,94,,,
Jules,83,,,
Evil Dead Rise,84,,,
Infinity Pool,86,,,
Attachment,95,,,
The Offering,74,,,
Huesera: The Bone Woman,97,,,
Scream VI,76,,,
M3GAN,93,,,
Talk to Me,95,,,
Sick,87,,,
The Blackening,87,,,
,,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:popular,,
,,/m/expend4bles,,
,,/m/dumb_money,,
,,/m/paw_patrol_the_mighty_movie,,
,,/m/the_dark_knight,,
,,/m/the_lego_movie,,
,,/m/a_haunting_in_venice,,
,,/m/flora_and_son,,
,,/m/the_nun_ii,,
,,/m/the_retirement_plan,,
,,/m/outlaw_johnny_black,,
,,/m/my_big_fat_greek_wedding_3,,
,,/m/stop_making_sense,,
,,/m/the_great_indian_family,,
,,/m/camp_hideout,,
,,/m/get_out,,
,,/m/matrix,,
,,/m/the_inventor,,
,,/m/saw_x,,
,,/m/the_creator_2023,,
,,/m/the_exorcist_believer,,
,,https://editorial.rottentomatoes.com/article/new-movies-tv-shows-streaming-in-september-2023,,
,,/tv/the_continental/s01,,
,,/tv/american_horror_story/s12,,
,,/m/no_one_will_save_you,,
,,/tv/sex_education/s04,,
,,/tv/the_gold/s01,,
,,/m/a_million_miles_away_2023,,
,,/tv/the_walking_dead_daryl_dixon/s01,,
,,/tv/the_other_black_girl/s01,,
,,/tv/the_morning_show/s03,,
,,/tv/becoming_frida_kahlo/s01,,
,,/tv/welcome_to_wrexham/s02,,
,,/tv/the_changeling/s01,,
,,/tv/i_am_groot/s02,,
,,/tv/the_wheel_of_time/s02,,
,,/tv/one_shot_overtime_elite/s01,,
,,/m/cassandro,,
,,/tv/star_trek_lower_decks/s04,,
,,/m/sitting_in_bars_with_cake,,
,,/tv/virgin_river/s05,,
,,/tv/one_piece_2023/s01,,
,,https://www.rottentomatoes.com/browse/movies_in_theaters/sort:popular,,
,,https://www.fandango.com/movies-in-theaters,,
,,/m/the_nun_ii,,
,,/m/a_haunting_in_venice,,
,,/m/the_equalizer_3,,
,,/m/my_big_fat_greek_wedding_3,,
,,/m/barbie,,
,,/m/jawan,,
,,/m/blue_beetle,,
,,/m/gran_turismo_based_on_a_true_story,,
,,/m/oppenheimer_2023,,
,,/m/teenage_mutant_ninja_turtles_mutant_mayhem,,
,,/m/bottoms,,
,,/m/meg_2_the_trench,,
,,/m/talk_to_me_2023,,
,,/m/haunted_mansion_2023,,
,,/m/camp_hideout,,
,,/m/strays_2023,,
,,/m/the_hill,,
,,/m/mission_impossible_dead_reckoning_part_one,,
,,/m/dumb_money,,
,,/m/the_inventor,,
,,https://editorial.rottentomatoes.com/article/rt25amc/,,
,,/m/the_dark_knight,,
,,/m/the_lego_movie,,
,,/m/get_out,,
,,/m/matrix,,
,,/m/top_gun_maverick,,
,,/m/star_trek_11,,
,,https://www.rottentomatoes.com/browse/movies_in_theaters/critics:certified_fresh,,
,,/m/a_million_miles_away_2023,,
,,/m/mutt,,
,,/m/the_equalizer_3,,
,,/m/dumb_money,,
,,/m/a_haunting_in_venice,,
,,/m/rotting_in_the_sun,,
,,/m/cassandro,,
,,/m/tony_manero,,
,,/m/aristotle_and_dante_discover_the_secrets_of_the_universe,,
,,/m/el_conde,,
,,/m/the_first_slam_dunk,,
,,/m/once_upon_a_time_in_uganda,,
,,/m/perpetrator,,
,,/m/the_unknown_country,,
,,/m/you_are_so_not_invited_to_my_bat_mitzvah,,
,,/m/the_innocent_2022,,
,,/m/fremont,,
,,/m/bottoms,,
,,/m/the_eternal_memory,,
,,/m/jules,,
,,https://editorial.rottentomatoes.com/guide/best-horror-movies-2023/,,
,,/m/evil_dead_rise,,
,,/m/infinity_pool_2023,,
,,/m/attachment,,
,,/m/the_offering_2022,,
,,/m/huesera_the_bone_woman,,
,,/m/scream_vi,,
,,/m/m3gan,,
,,/m/talk_to_me_2023,,
,,/m/sick_2022,,
,,/m/the_blackening,,
,,,New & Upcoming Movies In Theaters,
,,,New & Upcoming on Streaming,
,,,Popular In Theaters,
,,,RT25 Screening Series at AMC Theatres,
,,,Latest Certified Fresh Movies,
,,,Best Horror Movies of 2023,
,,,,https://resizing.flixster.com/TvGRKwWq_NYotXDGVKv6zjk21Hc=/206x305/v2/https://resizing.flixster.com/ZjeUhoKsG1fO11Vr8m05sTia4fE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzEyYTA4ZWUwLTQwMDAtNGJhZi05MGJkLThjOGYwMGZlZTViNS5qcGc=
,,,,https://resizing.flixster.com/iI5mSBfuUPS6lCU27WKCbPfwHd4=/206x305/v2/https://resizing.flixster.com/YA79LGTeRyWJWc8CHUcSX5Yc19M=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzljZGQ5NjVkLWJkNmEtNDJlYy1hNDQyLWM2ZWQwMzRiZGVhZC5wbmc=
,,,,https://resizing.flixster.com/jlovx638auCHNJHVRopW2zAX2K4=/206x305/v2/https://flxt.tmsimg.com/assets/p24153543_b_v8_ac.jpg
,,,,https://resizing.flixster.com/1qtAIh6GPi4gkbIqMiAmX_fH-_o=/206x305/v2/https://resizing.flixster.com/86xMc82Pe9yBBtoceJ-vN3uYjSU=/ems.cHJkLWVtcy1hc3NldHMvdHZzZWFzb24vNzI3ZDY3Y2UtMWY2NC00M2M2LWE5MDItM2I3MGRjZDkwYzkyLmpwZw==
,,,,https://resizing.flixster.com/Yi4qopFiZLpnpjbQ6_r_ntaV2z8=/206x305/v2/https://resizing.flixster.com/BAiop_VF0lafqPbhco156WWbGlI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzQwZjljMGJkLWE3OTktNDUxNi1iYWNjLTcyZDA2ZGU3MzhiMi5qcGc=
,,,,https://resizing.flixster.com/iI5mSBfuUPS6lCU27WKCbPfwHd4=/206x305/v2/https://resizing.flixster.com/YA79LGTeRyWJWc8CHUcSX5Yc19M=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzljZGQ5NjVkLWJkNmEtNDJlYy1hNDQyLWM2ZWQwMzRiZGVhZC5wbmc=
,,,,https://resizing.flixster.com/LtGq5CNx1QQr1AeZT1qqN-Zzo-g=/206x305/v2/https://flxt.tmsimg.com/assets/p189253_v_v8_aa.jpg
,,,,https://resizing.flixster.com/kQi4LRam9ASsa3t6qNOibz5jqZk=/206x305/v2/https://resizing.flixster.com/R6h_lF1kc_Zgf2OVHyW1B2qobIc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2RmZjJmYmEzLTMyYmMtNDgzMC1iZjUyLTFjNGE3OGY0ZGNmOS5wbmc=
,,,,https://resizing.flixster.com/AQ9y8BsmwTf6oshdXLkM_weVx08=/206x305/v2/https://resizing.flixster.com/fs73w6Ygt0Fl7q4PMqAUgcImw9U=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2ZlNDhhMDFjLTZkMmYtNDQxNC1hYjYyLTliNTZiYmRmZjEyOC5qcGc=
,,,,https://resizing.flixster.com/Yi4qopFiZLpnpjbQ6_r_ntaV2z8=/206x305/v2/https://resizing.flixster.com/BAiop_VF0lafqPbhco156WWbGlI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzQwZjljMGJkLWE3OTktNDUxNi1iYWNjLTcyZDA2ZGU3MzhiMi5qcGc=
,,,,https://resizing.flixster.com/B6Wcp8lPtFsIdNrmNspmw5mOO-4=/206x305/v2/https://resizing.flixster.com/-YlXxxCDoN2pLf9DJlJO3PxovlQ=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2YxYzliMWY4LTAxNTAtNGY2YS1hOTk5LTE3NDg3NjZjYmY2OC5qcGc=
